"","date","1","2","3"
"1",2002-01-01,3.64978011565013,3.64978011565013,3.89085720169778
"2",2002-01-02,3.23313076246327,3.23313076246327,3.38447896009868
"3",2002-01-03,3.34311728258011,3.34311728258011,3.49400744834594
"4",2002-01-04,3.38879661003296,3.38879661003296,3.5808221761486
"5",2002-01-05,3.5779816374062,3.5779816374062,3.73121861823801
"6",2002-01-06,3.36824344746729,3.36824344746729,3.57839154151227
"7",2002-01-07,3.57371584336237,3.57371584336237,3.80223837448323
"8",2002-01-08,3.69869488622207,3.69869488622207,3.93993180701731
"9",2002-01-09,3.62821976381746,3.62821976381746,3.84559582864412
"10",2002-01-10,3.46387394016506,3.46387394016506,3.72027465968767
"11",2002-01-11,2.98570353120205,2.98570353120205,3.13674988016716
"12",2002-01-12,2.26681827726336,2.26681827726336,2.56791795969569
"13",2002-01-13,3.1660702279273,3.1660702279273,2.97062975739455
"14",2002-01-14,2.47030584162117,2.47030584162117,2.55142746607297
"15",2002-01-15,3.04019981507883,3.04019981507883,3.04372137606505
"16",2002-01-16,3.88411234272898,3.88411234272898,4.08497950746782
"17",2002-01-17,3.8230727267359,3.8230727267359,3.93162596678676
"18",2002-01-18,4.14134650852096,4.14134650852096,4.30495083325869
"19",2002-01-19,3.93032107294703,3.93032107294703,4.09682741027159
"20",2002-01-20,3.37455045545516,3.37455045545516,3.71639243018254
"21",2002-01-21,3.76986318708603,3.76986318708603,3.99587432372902
"22",2002-01-22,3.66593507439354,3.66593507439354,3.88713289361189
"23",2002-01-23,3.57776272492138,3.57776272492138,3.79642360304834
"24",2002-01-24,3.6049962710432,3.6049962710432,3.81188382985401
"25",2002-01-25,3.49734206323008,3.49734206323008,3.7925567951726
"26",2002-01-26,3.52217998497574,3.52217998497574,3.82573849536185
"27",2002-01-27,3.31786583848832,3.31786583848832,3.5643734557176
"28",2002-01-28,3.84875980526538,3.84875980526538,4.06505278942051
"29",2002-01-29,3.90866719784524,3.90866719784524,4.11655109200756
"30",2002-01-30,3.81601216317993,3.81601216317993,4.03574965464699
"31",2002-01-31,3.91804239410732,3.91804239410732,4.10789647573689
"32",2002-02-01,3.97060856190463,3.97060856190463,4.16152486662189
"33",2002-02-02,3.89046470740461,3.89046470740461,4.11815706441416
"34",2002-02-03,3.79198519221301,3.79198519221301,4.01602455470249
"35",2002-02-04,3.83247586230756,3.83247586230756,4.06715316488751
"36",2002-02-05,3.90656758625523,3.90656758625523,4.12766228731022
"37",2002-02-06,3.99771778007187,3.99771778007187,4.22646137254403
"38",2002-02-07,3.95181094983512,3.95181094983512,4.16992320024804
"39",2002-02-08,3.9555692154354,3.9555692154354,4.1779327138927
"40",2002-02-09,4.04049123664291,4.04049123664291,4.25290839833172
"41",2002-02-10,4.04836526169125,4.04836526169125,4.26387025064109
"42",2002-02-11,3.91451005805939,3.91451005805939,4.12045713590218
"43",2002-02-12,3.96032014630943,3.96032014630943,4.18576063919655
"44",2002-02-13,3.37966334605648,3.37966334605648,3.77088156122118
"45",2002-02-14,2.82236215078289,2.82236215078289,3.14497523231872
"46",2002-02-15,3.39479745037388,3.39479745037388,3.66795418837114
"47",2002-02-16,3.91133574391531,3.91133574391531,4.08325437706299
"48",2002-02-17,3.54760897089606,3.54760897089606,3.84468642932243
"49",2002-02-18,3.43717725640409,3.43717725640409,3.64042296497786
"50",2002-02-19,4.0600901507302,4.0600901507302,4.30023875179739
"51",2002-02-20,4.18419384469731,4.18419384469731,4.34763036507406
"52",2002-02-21,4.19482934146535,4.19482934146535,4.40260490195468
"53",2002-02-22,4.19323469511605,4.19323469511605,4.37942526178412
"54",2002-02-23,3.74140091202376,3.74140091202376,3.84199653878493
"55",2002-02-24,4.15936210225083,4.15936210225083,4.38728682435457
"56",2002-02-25,4.21589377284696,4.21589377284696,4.41940665871714
"57",2002-02-26,3.96049259451138,3.96049259451138,4.21538680622914
"58",2002-02-27,4.18710090627483,4.18710090627483,4.39604852665234
"59",2002-02-28,4.07426027354671,4.07426027354671,4.2712061609256
"60",2002-03-01,3.71287027517487,3.71287027517487,4.01077197988923
"61",2002-03-02,3.53397478259883,3.53397478259883,3.83801934506683
"62",2002-03-03,2.79927880228327,2.79927880228327,3.23162691481726
"63",2002-03-04,3.21696981900512,3.21696981900512,3.44379873144103
"64",2002-03-05,3.1317448435441,3.1317448435441,3.32597320026042
"65",2002-03-06,3.98672213054545,3.98672213054545,4.24152907943137
"66",2002-03-07,4.22193773955067,4.22193773955067,4.49357839146907
"67",2002-03-08,3.92340570813431,3.92340570813431,4.18205240522429
"68",2002-03-09,3.97418232502353,3.97418232502353,4.22233103216613
"69",2002-03-10,3.12958523286502,3.12958523286502,3.37831080287396
"70",2002-03-11,3.44851609188759,3.44851609188759,3.57778795058964
"71",2002-03-12,3.77186992081642,3.77186992081642,4.01850994062072
"72",2002-03-13,4.19343380566537,4.19343380566537,4.41791416161673
"73",2002-03-14,4.4146059680426,4.4146059680426,4.67352772607518
"74",2002-03-15,4.29867661341189,4.29867661341189,4.51652029929907
"75",2002-03-16,4.03556791322851,4.03556791322851,4.16120725225207
"76",2002-03-17,4.12625942913056,4.12625942913056,4.28422174509268
"77",2002-03-18,3.69625392899389,3.69625392899389,4.13160442903221
"78",2002-03-19,3.72416671761747,3.72416671761747,4.08484951083297
"79",2002-03-20,3.96125671517555,3.96125671517555,4.09020717096953
"80",2002-03-21,3.78361113979357,3.78361113979357,4.03365042414134
"81",2002-03-22,3.65534053080257,3.65534053080257,3.90262640937356
"82",2002-03-23,4.15496351992127,4.15496351992127,4.3621591774704
