"","Month","Avg","Min","Max"
"1",1,61.3246753246753,46,113
"2",2,34.2077922077922,24,101
"3",3,130.330447330447,84,236
"4",4,108.838383838384,74,181
"5",5,85.6998556998557,63,140
"6",6,153.735930735931,124,235
"7",7,215.926406926407,168,302
"8",8,118.744588744589,80,215
"9",9,25.010101010101,16,41
"10",10,11.4083694083694,5,31
"11",11,9.16594516594517,5,29
"12",12,10.007215007215,6,28
