"","Month","Avg","Min","Max"
"1",1,65.5382395382395,49,120
"2",2,34.0490620490621,24,100
"3",3,107.559884559885,70,195
"4",4,103.494949494949,70,172
"5",5,79.4458874458875,58,130
"6",6,149.483405483405,120,230
"7",7,248.349206349206,195,346
"8",8,125.275613275613,84,227
"9",9,23.972582972583,15,39
"10",10,10.4790764790765,5,29
"11",11,9.78210678210678,5,31
"12",12,9.44588744588745,6,27
